Comment,Vote_useful,Date,Rating
"The game in general is the best I've ever played in terms of adventure, fighting, scenery, events, etc. The only thing I'd like to be changed is the space it takes to run. If we are unable to replay story quests and scenes, it should be reasonable to have an option to delete those extra unused files to have more space. Other than that, best game out there.",32,"August 23, 2022",5
"I absolutely love and adore this game. By far my favorite story roleplaying game out there. The quests, lore, plots, mysteries, grind, pulls, all of it. I'm a newer player, but I haven't been bored yet of this game. I don't think I ever will. I'd say it's biggest issues is lagging, and setting it's quality different on its own. As well as occasional bugs on my laptop. If the frame per second(fps) could be a bit quicker that would be great. But other than that, the game is beautiful. Will update.",643,"August 16, 2022",5
"It is amazing, I have only been playing it for a few day, it been lagging a lot, might be becuse of my storage 😅, but all I need to say is, it's amazing! The art style is amazing too, 9/10, when you change to another app for even a second or keep it open in the background, it just puts you back on the menu screen, for a person who dose like, 5 other things on their phone at the same time, it's a problem, nothing truly bad to say. 9/10, Love it",396,"August 21, 2022",4
"This game is truly amazing and getting better day by day, though it has many bugs and features that could be fixed for a better game experience. 1- My major issue is the storage this game is taking. Im not sure if there's a fix for it, but it's getting out of hand and many (mobile) players are being forced to fully quit. 2- On mobile, most times the chat will not open or glitch in coop, which is annoying but it usually comes back after a few seconds. Though, its overall a great game, I love it.",188,"August 19, 2022",4
"The release of Sumeru gave so much to do! I've been playing for over a year. It's got amazing graphics and tons of different characters to choose from. The story has got us anticipating more. Although it is captivating, it isn't really new player friendly. The new characters and weapons require items that new players can't have access to. It can cause them to rush through the story. Other than that however, the game has been treating us nicely. I hope the second year anniversary won't fail us.",91,"September 5, 2022",4
"I really like playing Genshin Impact, its really fun and I like exploring and building my characters. The only issues I have with the game is the lack of diversity, and the lagging, and how much time it takes for an update to get done. I try and play on my mobile phone, but for the past few updates, I've had to get rid of apps and clear my space on my phone because of how much space this one app takes. Other then those issues, all is good, keep up the good work Hoyoverse.",6,"August 24, 2022",4
"Great game, the open world aspect is very well handled. Leveling up in adventure rank is a chore but isn't that bad. Best thing is that paying money to wish isn't required, you can get new characters and progress through the game without spending anything and it isn't even pushed on you to spend money, it's just an option.",8,"August 23, 2022",5
"The game is fun, and surprisingly f2p friendly and good quality despite it's reputation as a gacha game. But 2 issues, 1 issue is that you can get a character affiliated with a state in a lvl 30 zone, but can only progress to lvl 20 before needing items from the 30 zone to upgrade further. So if you get a character that isn't affiliated with lvl 1-29, you get screwed over. 2nd is that despite being a single player game, requires a stable internet connection. AFAIK there's no way to go offline.",14,"September 9, 2022",3
"Definitely a great game that's made great strides compared to the first time I installed it. It's still very laggy especially as the game includes more, but it's improved. It's not very free to play friendly though. For the amount of characters coming out, the spacing of events and primos possible make it very difficult to achieve getting characters. I experienced this in a major way as a beginner because of the large gap in what I wanted versus what was possible.","1,203","August 24, 2022",4
"The best mobile game I have ever played, and I've played around 400+ over the years. In terms of replayability, daily drops, animation, combat, characters, Genshin is totally unmatched by anything else. I also wanted to say that the weight of the characters feels good. Jumps, attacks, flying, it l feels natural. Really good stuff, I will continue to drop many hours and dollars for the privilege of playing.",505,"August 24, 2022",5
